Date,KBP1424D,KBP1425D,KBP1437D,KBP1438D,KBP1440D,KBP1456D,KBP1457D,KBP1481D,KBP1482D,KBP1484D
1999-07-31,,,0,0.0,,,,-7,0,
1999-08-02,,,12200,0.0,,,,-12,0,
1999-08-03,,,12318,400.0,,,,-13,0,
1999-08-04,,,12435,0.0,,,,-2,0,
1999-08-05,,,12800,200.0,,,,0,0,
1999-08-06,,,12633,0.0,,,,-2,0,
1999-08-07,,,0,0.0,,,,-2,0,
1999-08-09,,,0,0.0,,,,-2,0,
1999-08-10,,,12600,0.0,,,,-2,0,
1999-08-11,,,12500,-121.0,,,,-1,0,
1999-08-12,,,12498,0.0,,,,-1,0,
1999-08-13,,,12400,-300.0,,,,-2,0,
1999-08-14,,,0,0.0,,,,-1,0,
1999-08-16,,,12400,0.0,,,,-1,0,
1999-08-17,,,11887,168.0,,,,-2,0,
1999-08-18,,,12387,0.0,,,,-1,0,
1999-08-19,,,12206,0.0,,,,-1,0,
1999-08-20,,,11760,0.0,,,,-5,0,
1999-08-21,,,0,0.0,,,,-1,0,
1999-08-23,,,11860,0.0,,,,-1,0,
1999-08-24,,,12360,0.0,,,,-1,0,
1999-08-25,,,11560,0.0,,,,0,18,
1999-08-26,,,12400,0.0,,,,-2,0,
1999-08-27,,,11770,0.0,,,,-2,0,
1999-08-28,,,0,90.0,,,,-1,0,
1999-08-30,,,12400,500.0,,,,-2,0,
1999-08-31,,,12600,0.0,,,,-1,0,
1999-09-01,,,12430,0.0,,,,-1,0,
1999-09-02,,,11360,0.0,,,,-1,0,
1999-09-03,,,12120,0.0,,,,-2,0,
1999-09-04,,,0,0.0,,,,-2,0,
1999-09-06,,,12600,0.0,,,,-1,0,
1999-09-07,,,12045,0.0,,,,-5,0,
1999-09-08,,,11940,0.0,,,,-3,0,
1999-09-09,,,11955,0.0,,,,-3,0,
1999-09-10,,,11940,0.0,,,,-3,0,
1999-09-11,,,0,0.0,,,,-2,0,
1999-09-13,,,11900,0.0,,,,-4,0,
1999-09-14,,,11500,0.0,,,,-1,0,
1999-09-15,,,11500,0.0,,,,-1,0,
1999-09-16,,,11700,31.0,,,,-1,0,
1999-09-17,,,11580,0.0,,,,-1,0,
1999-09-18,,,0,0.0,,,,-1,0,
1999-09-20,,,10630,1031.0,,,,0,35,
1999-09-21,,,11800,0.0,,,,-1,0,
1999-09-22,,,11620,250.0,,,,0,0,
1999-09-23,,,11200,0.0,,,,-3,0,
1999-09-24,,,0,0.0,,,,0,0,
1999-09-25,,,0,0.0,,,,0,0,
1999-09-27,,,11700,0.0,,,,-40,0,
1999-09-28,,,11600,469.0,,,,-6,0,
1999-09-29,,,11380,266.0,,,,0,0,
1999-09-30,,,11300,0.0,,,,-4,0,
1999-10-01,,,11310,245.0,,,,-2,0,
1999-10-02,,,0,0.0,,,,-1,0,
1999-10-04,,,10760,450.0,,,,-1,0,
1999-10-05,,,11200,0.0,,,,-6,0,
1999-10-06,,,11000,0.0,,,,-1,0,
1999-10-07,,,10800,0.0,,,,-1,0,
1999-10-08,,,10700,0.0,,,,-1,0,
1999-10-09,,,0,0.0,,,,-1,0,
1999-10-11,,,10190,0.0,,,,-1,0,
1999-10-12,,,10500,0.0,,,,0,0,
1999-10-13,,,10500,-256.0,,,,-1,0,
1999-10-14,,,10730,0.0,,,,-1,0,
1999-10-15,,,10500,0.0,,,,-10,0,
1999-10-16,,,0,0.0,,,,-2,0,
1999-10-18,,,10600,0.0,,,,-1,0,
1999-10-19,,,10800,0.0,,,,-1,0,
1999-10-20,,,10600,-366.0,,,,-2,0,
1999-10-21,,,10077,0.0,,,,-1,0,
1999-10-22,,,9500,0.0,,,,-2,0,
1999-10-23,,,0,0.0,,,,-2,0,
1999-10-25,,,9900,0.0,,,,-2,0,
1999-10-26,,,10100,0.0,,,,0,61,
1999-10-27,,,9100,-390.0,,,,0,50,
1999-10-28,,,9100,0.0,,,,0,108,
1999-10-29,,,8800,0.0,,,,-50,0,
1999-10-30,,,0,0.0,,,,-12,0,
1999-11-01,,,8500,92.0,,,,-11,0,
1999-11-02,,,8500,0.0,,,,-12,0,
1999-11-03,,,8500,-485.0,,,,-13,0,
1999-11-04,,,8000,0.0,,,,-43,0,
1999-11-05,,,8100,-230.0,,,,-14,0,
1999-11-06,,,0,0.0,,,,-13,0,
1999-11-08,,,7500,0.0,,,,-1,0,
1999-11-09,,,7500,0.0,,,,0,9,
1999-11-10,,,7000,-450.0,,,,-1,0,
1999-11-11,,,6700,0.0,,,,-2,0,
1999-11-12,,,6500,0.0,,,,-3,0,
1999-11-13,,,0,0.0,,,,-2,0,
1999-11-15,,,6700,0.0,,,,-1,0,
1999-11-16,,,6700,0.0,,,,0,7,
1999-11-17,,,6500,0.0,,,,-11,0,
1999-11-18,,,6500,-74.0,,,,-15,0,
1999-11-19,,,6500,0.0,,,,-17,0,
1999-11-20,,,0,0.0,,,,-16,0,
1999-11-22,,,6400,360.0,,,,-17,0,
1999-11-23,,,6300,0.0,,,,-17,0,
1999-11-24,,,6200,0.0,,,,-2,0,
1999-11-25,,,6200,-415.0,,,,-2,0,
1999-11-26,,,6100,0.0,,,,-6,0,
1999-11-27,,,0,0.0,,,,-6,0,
1999-11-29,,,6400,440.0,,,,-5,0,
1999-11-30,,,5600,111.0,,,,-12,0,
1999-12-01,,,4900,0.0,,,,-2,0,
1999-12-02,,,4600,0.0,,,,-2,0,
1999-12-03,,,4500,520.0,,,,-19,0,
1999-12-04,,,0,0.0,,,,-20,0,
1999-12-06,,,4500,0.0,,,,-1,0,
1999-12-07,,,4500,0.0,,,,-5,0,
1999-12-08,,,4500,-215.0,,,,-3,0,
1999-12-09,,,3900,-280.0,,,,-2,0,
1999-12-10,,,3800,-372.0,,,,-6,0,
1999-12-11,,,0,0.0,,,,-5,0,
1999-12-13,,,3700,0.0,,,,-3,0,
1999-12-14,,,3400,272.0,,,,-2,0,
1999-12-15,,,3100,-541.0,,,,-12,0,
1999-12-16,,,0,0.0,,,,0,0,
1999-12-17,,,3100,248.0,,,,-14,0,
1999-12-18,,,0,0.0,,,,-14,0,
1999-12-20,,,3100,560.0,,,,-15,0,
1999-12-21,,,3800,0.0,,,,-7,0,
1999-12-22,,,3900,-1175.0,,,,0,1,
1999-12-23,,,3200,-225.0,,,,0,47,
1999-12-24,,,3500,1068.0,,,,-5,0,
1999-12-25,,,0,0.0,,,,0,0,
1999-12-27,,,0,0.0,,,,0,0,
1999-12-28,,,4000,0.0,,,,-9,0,
1999-12-29,,,3900,622.0,,,,-10,0,
1999-12-30,,,3300,890.0,,,,-3,0,
1999-12-31,,,0,0.0,,,,0,0,
2000-01-01,,,0,0.0,,,,0,0,
2000-01-03,,,2410,-221.0,,,,-2,0,
2000-01-04,,,3500,-318.0,,,,0,53,
2000-01-05,,,3800,0.0,,,,0,30,
2000-01-06,,,4500,0.0,,,,0,70,
2000-01-07,,,4400,-526.0,,,,-3,0,
2000-01-08,,,0,0.0,,,,-14,0,
2000-01-10,,,4700,-284.0,,,,0,44,
2000-01-11,,,5400,-265.0,,,,0,68,
2000-01-12,,,5500,-397.0,,,,-2,0,
2000-01-13,,,6000,0.0,,,,-2,0,
2000-01-14,,,6300,-170.0,,,,-11,0,
2000-01-15,,,0,0.0,,,,-10,0,
2000-01-17,,,6300,0.0,,,,-11,0,
2000-01-18,,,6500,0.0,,,,-11,0,
2000-01-19,,,6600,0.0,,,,-3,0,
2000-01-20,,,6100,-373.0,,,,-7,0,
2000-01-21,,,6000,0.0,,,,-12,0,
2000-01-22,,,0,0.0,,,,-4,0,
2000-01-24,,,6100,109.0,,,,-7,0,
2000-01-25,,,6700,0.0,,,,0,10,
2000-01-26,,,6000,0.0,,,,-10,0,
2000-01-27,,,6100,0.0,,,,0,5,
2000-01-28,,,6400,198.0,,,,0,12,
